"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.381161493E1,-1.059661484E1,-8.548358679E-1,-4.439882278E0
4.382161493E1,-1.129172993E1,-1.134197950E0,-4.433900356E0
4.383161493E1,-1.198146152E1,-1.026520967E0,-4.439882278E0
4.384161493E1,-1.239781189E1,-9.487541914E-1,-4.366302967E0
4.385161493E1,-1.253420353E1,-7.256234884E-1,-4.529613495E0
4.386161493E1,-1.223330593E1,-3.469592705E-2,-5.047060966E0
4.387161493E1,-1.141137123E1,3.361915946E-1,-5.302495003E0
4.388161493E1,-1.089990520E1,7.758727670E-1,-5.404788017E0
4.389161493E1,-1.129472065E1,6.915257573E-1,-5.201398373E0
4.390161493E1,-1.335075378E1,-2.572284266E-2,-4.873581409E0
4.391161493E1,-1.537328720E1,-6.951149702E-1,-4.446462631E0
4.392161493E1,-1.596610928E1,-1.143171072E0,-3.500101328E0
4.393161493E1,-1.550309753E1,-5.090730190E-1,-6.987041831E-1
4.394161493E1,-1.414277840E1,3.918247223E-1,2.281556368E0
4.395161493E1,-1.212024498E1,5.318048596E-1,4.414757729E0
4.396161493E1,-1.073420238E1,5.377869010E-1,5.269593716E0
4.397161493E1,-1.023828983E1,6.424728632E-1,5.261219025E0
4.398161493E1,-1.037109184E1,1.053440213E0,3.556332588E0
4.399161493E1,-1.126481056E1,1.018146038E0,8.195417523E-1
4.400161493E1,-1.257906818E1,9.583254457E-1,-9.128618240E-1
4.401161493E1,-1.369472218E1,1.095912814E0,-2.796013355E0
4.402161493E1,-1.329870987E1,8.015955985E-2,-2.962314367E0
4.403161493E1,-1.237926769E1,-4.995017350E-1,-2.801397085E0
4.404161493E1,-1.048295593E1,-9.242277741E-1,-2.060220242E0
4.405161493E1,-8.788239479E0,-9.020941257E-1,-1.517647743E0
4.406161493E1,-7.843074322E0,-4.947160780E-1,-1.097109199E0
4.407161493E1,-7.561319351E0,4.905286431E-2,-1.031306505E0
4.408161493E1,-7.530212879E0,8.099704385E-1,-1.037288666E0
