"time","gyro_x","gyro_y","gyro_z"
1.065200269E1,-7.024950534E-2,-4.612032697E-2,6.414085161E-3
1.066200269E1,9.834930301E-2,-1.049161032E-1,-3.451388702E-2
1.067200268E1,1.404990107E-1,-2.223549485E-1,-1.088867337E-1
1.068200268E1,2.985603809E-1,-3.283400834E-1,-8.964447677E-2
1.069200268E1,3.229950070E-1,-2.869539559E-1,-2.886338346E-2
1.070200268E1,1.629483104E-1,-2.087631971E-1,-8.857546374E-3
1.071200268E1,5.497787148E-2,-1.896736622E-1,6.108652335E-3
1.072200269E1,-4.230241850E-2,-2.105957866E-1,-1.786780916E-2
1.073200269E1,-1.456913650E-1,-2.134974003E-1,-5.406157300E-2
1.074200269E1,-2.319760770E-1,-2.138028294E-1,-1.001819000E-1
1.075200268E1,-2.577851415E-1,-2.176207453E-1,-1.427897513E-1
1.076200268E1,-2.492330223E-1,-2.092213482E-1,-1.476766765E-1
1.077200268E1,-2.310597748E-1,-2.176207453E-1,-1.539380401E-1
1.078200268E1,-2.153300047E-1,-2.260201424E-1,-1.539380401E-1
1.079200268E1,-2.006692290E-1,-2.501493096E-1,-1.392772794E-1
1.080200269E1,-1.847867370E-1,-2.693915665E-1,-1.331686229E-1
1.081200269E1,-1.751656085E-1,-2.803871334E-1,-1.466076523E-1
1.082200269E1,-1.789835095E-1,-2.803871334E-1,-1.685988009E-1
1.083200268E1,-1.815796942E-1,-2.926044464E-1,-2.015855312E-1
1.084200268E1,-1.937969923E-1,-3.121521473E-1,-2.454151064E-1
1.085200268E1,-2.110539377E-1,-3.352122903E-1,-2.794708610E-1
